,id,detail,gameweek,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,element,fixture,opponent_team
21160,22371,TOT (H) 4-2,32,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,320,18
21161,23267,MUN (A) 0-1,33,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,328,14
21162,23985,LEI (H) 3-0,34,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,340,11
21163,24720,MCI (A) 1-0,35,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,349,13
21164,25501,BHA (H) 0-2,36,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,360,5
21165,26282,CRY (A) 4-2,37,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,366,7
21166,27063,BRE (H) 1-1,38,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,380,4
21167,558,ARS (A) 2-0,1,0,0,8,0,14.9,2,0,3.7,21.8,90,0,0,0,0,0,0.0,0,1,0.00,0.02,0.02,1.24,1,558,2,1
21168,1179,CHE (H) 2-6,2,0,0,-14,0,0.3,6,0,2.1,16.2,90,0,0,0,0,0,4.0,1,1,0.25,0.00,0.25,1.56,-2,558,20,6
21169,1807,NFO (A) 1-1,3,0,0,10,0,0.4,1,0,2.4,21.8,90,0,0,0,0,0,2.0,0,1,0.00,0.00,0.00,1.04,2,558,29,16
21170,2455,NEW (H) 1-2,4,0,0,8,0,1.1,2,0,3.8,25.4,90,0,0,0,0,0,11.0,0,1,0.08,0.00,0.08,1.21,1,558,40,15
21171,3114,AVL (A) 3-1,5,0,0,12,0,10.6,1,0,4.0,25.0,81,0,0,0,0,0,4.0,1,1,0.00,0.01,0.01,0.58,1,558,41,2
21172,3775,LIV (H) 1-2,6,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,60,12
21173,4439,BRE (A) 5-3,7,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,63,4
21174,5105,MCI (H) 1-2,8,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,80,13
21175,5772,BHA (A) 2-2,9,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,84,5
21176,6442,CRY (H) 2-2,10,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,100,7
21177,7116,SOU (H) 2-0,11,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,110,17
21178,7794,FUL (A) 1-4,12,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,115,9
21179,8478,BOU (H) 2-4,13,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,130,3
21180,9168,EVE (A) 4-0,14,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,134,8
21181,9811,WHU (A) 2-1,15,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,150,19
