,0
Ui-jo (NFO),NFO
Wood (NFO),NFO
Worrall (BOU),BOU
Yates (NFO),NFO
Alcaraz (FUL),FUL
Amo-Ameyaw (SOU),SOU
Aribo (SOU),SOU
Armstrong (SOU),SOU
Bazunu (SOU),SOU
Bednarek (SOU),SOU
Bella-Kotchap (SOU),SOU
Bree (SOU),SOU
Charles (SOU),SOU
Edozie (SOU),SOU
Edwards (SOU),SOU
Harwood-Bellis (SOU),SOU
Kamaldeen (SOU),SOU
Lallana (SOU),SOU
Larios (SOU),SOU
Lis (SOU),SOU
Lumley (SOU),SOU
Manning (SOU),SOU
Mara (SOU),SOU
McCarthy (SOU),SOU
Onuachu (SOU),SOU
Smallbone (SOU),SOU
Stephens (SOU),SOU
Stewart (SOU),SOU
Sugawara (SOU),SOU
Taylor (SOU),SOU
Walker-Peters (WHU),WHU
Wood (SOU),SOU
Phillips (TOT),TOT
Austin (TOT),TOT
Bentancur (TOT),TOT
Bergvall (TOT),TOT
Bissouma (TOT),TOT
Bryan (TOT),TOT
Davies (TOT),TOT
Devine (TOT),TOT
Dragusin (TOT),TOT
E.Royal (TOT),TOT
Forster (TOT),TOT
Gray (TOT),TOT
Højbjerg (TOT),TOT
Johnson (TOT),TOT
Kulusevski (TOT),TOT
Lo Celso (TOT),TOT
Maddison (TOT),TOT
Pedro Porro (TOT),TOT
Reguilón (TOT),TOT
Richarlison (TOT),TOT
Romero (TOT),TOT
P.M.Sarr (TOT),TOT
Scarlett (TOT),TOT
Skipp (LEI),LEI
Solomon (TOT),TOT
Son (TOT),TOT
Spence (TOT),TOT
Udogie (TOT),TOT
Van de Ven (TOT),TOT
Veliz (TOT),TOT
Vicario (TOT),TOT
Werner (TOT),TOT
Whiteman (TOT),TOT
Álvarez (WHU),WHU
Antonio (WHU),WHU
Areola (WHU),WHU
Bowen (WHU),WHU
Cornet (WHU),WHU
Coufal (WHU),WHU
Cresswell (WHU),WHU
Downes (SOU),SOU
Earthy (WHU),WHU
Emerson (WHU),WHU
Fabianski (WHU),WHU
Foderingham (WHU),WHU
Ings (WHU),WHU
Kilman (WHU),WHU
Kudus (TOT),TOT
L.Guilherme (WHU),WHU
L.Paquetá (WHU),WHU
Mavropanos (WHU),WHU
N.Aguerd (WHU),WHU
Souček (WHU),WHU
Ward-Prowse (WHU),WHU
Zouma (WHU),WHU
Aït-Nouri (MCI),MCI
B.Traore (WOL),WOL
Bellegarde (WOL),WOL
Bentley (WOL),WOL
Chiquinho (WOL),WOL
Chirewa (WOL),WOL
Chiwome (WOL),WOL
Cundle (WOL),WOL
Cunha (MUN),MUN
Dawson (WOL),WOL
Doherty (WOL),WOL
Doyle (WOL),WOL
Fábio Silva (WOL),WOL
Fraser (WOL),WOL
Gonzalez (WOL),WOL
Guedes (WOL),WOL
H.Bueno (WOL),WOL
Hee Chan (WOL),WOL
Hodge (WOL),WOL
Hoever (WOL),WOL
Gomes (WOL),WOL
José Sá (WOL),WOL
Kalajdžić (WOL),WOL
King (WOL),WOL
Mario Jr. (WOL),WOL
Mosquera (WOL),WOL
N.Semedo (WOL),WOL
Neto (CRY),CRY
Pedro Lima (WOL),WOL
Podence (WOL),WOL
R.Gomes (WOL),WOL
S.Bueno (WOL),WOL
Sarabia (WOL),WOL
Strand Larsen (WOL),WOL
Toti (WOL),WOL
Muric (IPS),IPS
Jaden (IPS),IPS
A.Fatawu (LEI),LEI
Savinho (MCI),MCI
Yoro (MUN),MUN
Pivas (NEW),NEW
Milenković (NFO),NFO
Wiley (CHE),CHE
Irving (WHU),WHU
Lindstrøm (EVE),EVE
Calafiori (ARS),ARS
Sessegnon (IPS),IPS
Huijsen (BOU),BOU
Jörgensen (CRY),CRY
O'Brien (FUL),FUL
Townsend (IPS),IPS
Brereton Díaz (SOU),SOU
Sarr (EVE),EVE
J.Cuenca (IPS),IPS
Summerville (WHU),WHU
G.Rodriguez (WHU),WHU
Füllkrug (WHU),WHU
Osula (NEW),NEW
Todibo (WHU),WHU
J.Araujo (BRE),BRE
De Ligt (MUN),MUN
Mazraoui (MUN),MUN
Lewis-Skelly (ARS),ARS
Bogarde (AVL),AVL
Dennis (BRE),BRE
Trevitt (BHA),BHA
Gruda (CHE),CHE
Ayari (CHE),CHE
Moran (CHE),CHE
Armstrong (FUL),FUL
King (IPS),IPS
Godo (IPS),IPS
Alves (LEI),LEI
O’Reilly (MCI),MCI
Jota (NFO),NFO
Dibling (SOU),SOU
Lankshear (TOT),TOT
Moore (TOT),TOT
Szmodics (IPS),IPS
Odobert (TOT),TOT
Collyer (MUN),MUN
Rushworth (CHE),CHE
Metcalfe (FUL),FUL
Nelson (LEI),LEI
Evanilson (BRE),BRE
Georginio (CHE),CHE
Cajuste (IPS),IPS
Sosa (NFO),NFO
João Félix (CHE),CHE
Berge (IPS),IPS
M.Fernandes (SOU),SOU
Begovic (EVE),EVE
Gündoğan (MCI),MCI
Dixon (FUL),FUL
Kaboré (MCI),MCI
F.Kadıoğlu (CHE),CHE
O'Riley (CHE),CHE
O'Shea (IPS),IPS
J.Clarke (IPS),IPS
Ogbene (IPS),IPS
Merino (ARS),ARS
Nunes (BHA),BHA
El Khannouss (LEI),LEI
Chiesa (LIV),LIV
Meupiyou (WOL),WOL
Oulad M'hand (ARS),ARS
Setford (ARS),ARS
Swinkels (AVL),AVL
Zych (AVL),AVL
Casey (WHU),WHU
André (WOL),WOL
Umeh (EVE),EVE
Devenny (EVE),EVE
Agbinone (EVE),EVE
Rodney (EVE),EVE
Wheatley (MUN),MUN
Meghoma (BHA),BHA
Lacroix (EVE),EVE
Mangala (EVE),EVE
Ugarte (MUN),MUN
Morato (NFO),NFO
C.Soler (WHU),WHU
Forbs (WOL),WOL
Young (AVL),AVL
Kacurri (ARS),ARS
Heaven (MUN),MUN
Kabia (ARS),ARS
Yogane (BRE),BRE
Jaros (LIV),LIV
Nichols (ARS),ARS
Samuels (BHA),BHA
Pond (WOL),WOL
Butler-Oyedeji (ARS),ARS
Kporha (EVE),EVE
J.Fletcher (MUN),MUN
Cahill (BHA),BHA
Davies (LIV),LIV
Amass (MUN),MUN
Wright (MCI),MCI
Simpson-Pusey (MCI),MCI
Fitzgerald (MUN),MUN
Maghoma (BHA),BHA
Marsh (EVE),EVE
Bates (FUL),FUL
Wilson-Esbrand (MCI),MCI
Scarles (WHU),WHU
Broggio (AVL),AVL
Kinsey (BOU),BOU
McConville (BHA),BHA
Olusesi (TOT),TOT
Hardy (TOT),TOT
Edozie (WOL),WOL
Slater (CHE),CHE
Winterburn (BRE),BRE
Mayers (WHU),WHU
Amissah (IPS),IPS
Nyoni (LIV),LIV
Williams-Barnett (TOT),TOT
Nallo (LIV),LIV
Kukonki (MUN),MUN
O'Brien-Whitmarsh (SOU),SOU
Cartwright (LEI),LEI
Rak-Sakyi (CHE),CHE
George (CRY),CRY
Acheampong (CRY),CRY
Mubama (MCI),MCI
Dorrington (TOT),TOT
King (TOT),TOT
Orford (WHU),WHU
Harris (BOU),BOU
Alleyne (MCI),MCI
Brits (MCI),MCI
Arthur (BHA),BHA
Rees-Dottin (BOU),BOU
Wilson-Brown (LEI),LEI
Danns (LIV),LIV
Abbott (NFO),NFO
Jimoh-Aloba (AVL),AVL
Okoduwa (WOL),WOL
Akinmboni (BRE),BRE
Soler (BRE),BRE
Gomez (CHE),CHE
Godfrey (IPS),IPS
Welington (SOU),SOU
Kinsky (TOT),TOT
Min-hyeok (TOT),TOT
Kayi Sanda (SOU),SOU
Agbadou (WOL),WOL
Hennessey (NFO),NFO
Adu-Adjei (BRE),BRE
Sadi (BRE),BRE
Sherif (FUL),FUL
Malen (AVL),AVL
Coulibaly (LEI),LEI
McKenna (BRE),BRE
Silcott-Duberry (BRE),BRE
Ajayi (TOT),TOT
Esse (EVE),EVE
A.García (AVL),AVL
Khusanov (MCI),MCI
Vitor Reis (MCI),MCI
Grønbæk (SOU),SOU
Marmoush (MCI),MCI
Porter (ARS),ARS
Kayode (BHA),BHA
Knight (CHE),CHE
Eyestone (BHA),BHA
Harrison (MUN),MUN
Cassanova (TOT),TOT
M.Asensio (AVL),AVL
Cashin (CHE),CHE
Palmer (IPS),IPS
N.Gonzalez (MCI),MCI
Dorgu (MUN),MUN
Danso (TOT),TOT
Tel (TOT),TOT
Djiga (WOL),WOL
Munetsi (WOL),WOL
Amougou (CHE),CHE
Willian (FUL),FUL
Heath (FUL),FUL
Anselmino (CRY),CRY
Ebere (FUL),FUL
Obi (MUN),MUN
Fredricson (MUN),MUN
Moorhouse (MUN),MUN
Kone (MUN),MUN
Morgan (BHA),BHA
Mheuka (CHE),CHE
Samuels-Smith (CHE),CHE
Graczyk (MUN),MUN
Mané (WOL),WOL
Echeverri (MCI),MCI
Fredrick (BHA),BHA
Genesis Antwi (CHE),CHE
Mee (MUN),MUN
Neave (NEW),NEW
Gower (ARS),ARS
Tasker (CHE),CHE
Monga (LEI),LEI
Jack Henry-Francis (ARS),ARS
Freddie Simmonds (BHA),BHA
Harry Howell (BHA),BHA
Olabade Aluko (LEI),LEI
Jake Evans (LEI),LEI
Jay Robinson (SOU),SOU
Boniface (IPS),IPS
Tom Taylor (IPS),IPS
Clarke (ARS),ARS
Welch (FUL),FUL
Braybrooke (LEI),LEI
Moore (SOU),SOU
